Post ID,Post Date,Post Time,Post Type,Post Visibility,Message Length,People Reached (Lifetime),Organic Reach (Lifetime),Viral Reach (Lifetime),Fan Reach (Lifetime)
15408433177_10156221726783178,122418,18:30:06,photo,Visible,2108,33815,33815,3601,30091
15408433177_10156220643028178,122418,8:30:09,photo,Visible,265,42663,42663,2859,38711
15408433177_10156219493283178,122318,18:30:05,photo,Visible,2609,38270,38270,4408,33507
15408433177_10156218474058178,122318,8:30:05,link,Visible,163,134562,134562,46934,89477
15408433177_10156217254498178,122218,18:30:04,photo,Visible,1665,35042,35042,5506,29613
15408433177_10156215023343178,122118,18:30:05,photo,Visible,1604,26522,26522,2421,23313
15408433177_10156214449173178,122118,12:00:06,link,Visible,168,29767,29767,1760,26632
15408433177_10156214137543178,122118,8:30:07,link,Visible,211,85331,85331,30423,56916
15408433177_10156213109848178,122018,18:30:07,photo,Visible,1581,30134,30134,3834,25882
15408433177_10156212838678178,122018,15:45:27,video,Unpublished,921,27770,27770,2723,23775
15408433177_10156212115463178,122018,8:30:10,photo,Visible,187,22633,22633,728,20855
15408433177_10156211059898178,121918,18:30:07,photo,Visible,1279,27729,27729,3873,23243
15408433177_10156210332873178,121918,11:04:36,video,Unpublished,833,10344,10344,3085,6955
15408433177_10156210078273178,121918,8:30:07,link,Visible,154,22541,22541,365,21273
15408433177_10156209055013178,121818,18:30:07,photo,Visible,877,35631,35631,6573,27982
15408433177_10156208602968178,121818,13:30:11,link,Visible,232,23675,23675,803,22033
15408433177_10156208181513178,121818,9:37:29,link,Visible,205,247870,247870,132672,121315
15408433177_10156206888008178,121718,18:30:08,photo,Visible,1611,39333,39333,11984,26034
15408433177_10156206493423178,121718,15:00:08,link,Visible,183,45501,45501,7216,37858
15408433177_10156205820343178,121718,8:30:10,link,Visible,515,25634,25634,563,24241
15408433177_10156204704388178,121618,18:30:07,photo,Visible,1558,29439,29439,2222,26223
15408433177_10156202132118178,121518,15:24:05,photo,Visible,1110,32020,32020,3050,27977
15408433177_10156202122788178,121518,15:16:06,video,Unpublished,773,32090,32090,5145,26850
15408433177_10156202120708178,121518,15:14:12,video,Unpublished,669,280787,280787,204068,75126
15408433177_10156200254543178,121418,18:30:10,photo,Visible,1416,34919,34919,8714,25841
15408433177_10156199929588178,121418,15:12:34,video,Visible,994,40894,40894,7734,32002
15408433177_10156199596378178,121418,11:59:04,link,Visible,75,24664,24664,596,23138
15408433177_10156199266173178,121418,8:30:09,link,Visible,269,27273,27273,2815,23947
15408433177_10156198057298178,121318,18:30:09,photo,Visible,1505,23702,23702,3720,19702
15408433177_10156197625438178,121318,14:28:48,video,Visible,162,79278,79278,4655,77555
15408433177_10156197292038178,121318,11:30:06,link,Visible,229,43472,43472,6467,37080
15408433177_10156195995558178,121218,18:30:06,photo,Visible,1611,23816,22091,1760,21356
15408433177_10156195708098178,121218,15:08:29,video,Visible,336,22047,22047,1845,19518
15408433177_10156195323663178,121218,11:03:02,link,Visible,225,168683,168683,70706,105021
15408433177_10156193989238178,121118,18:30:08,photo,Visible,1375,27306,27306,3240,23459
15408433177_10156193611643178,121118,15:00:50,video,Visible,335,19187,19187,2079,18099
15408433177_10156193379308178,121118,12:51:20,video,Unpublished,964,27730,27730,3583,23291
15408433177_10156192869288178,121118,7:57:55,video,Visible,336,0,0,0,0
15408433177_10156191651053178,121018,18:30:05,photo,Visible,2256,32488,32488,7275,24556
15408433177_10156191056848178,121018,13:30:05,link,Visible,181,34468,34468,1959,31085
15408433177_10156190740478178,121018,10:42:46,photo,Visible,370,25484,25484,31,24593
15408433177_10156189315203178,12918,18:30:06,photo,Visible,1236,30736,30736,3090,27053
15408433177_10156188799793178,12918,14:32:06,link,Visible,194,43518,43518,6792,35453
15408433177_10156187820128178,12918,5:33:07,photo,Visible,691,18508,18508,417,17182
15408433177_10156186673168178,12818,18:30:06,photo,Visible,630,30558,30558,3907,26609
15408433177_10156185099073178,12818,6:03:05,link,Visible,2849,966,966,286,413
15408433177_10156184024788178,12718,18:30:06,photo,Visible,2620,21950,21950,2997,18417
15408433177_10156183602638178,12718,15:01:03,link,Visible,209,34162,34162,4283,29196
15408433177_10156183064638178,12718,10:17:42,link,Unpublished,415,21436,21436,260,20470
15408433177_10156183062183178,12718,10:16:48,link,Unpublished,374,22683,22683,3407,20304
15408433177_10156183060668178,12718,10:15:47,link,Unpublished,344,21013,21013,3527,19668
15408433177_10156183059558178,12718,10:14:54,link,Unpublished,386,6570,6570,335,5832
15408433177_10156182924328178,12718,8:55:47,video,Visible,323,348863,348863,272004,90731
15408433177_10156181660778178,12618,18:30:11,photo,Visible,1495,20763,20763,1796,18489
15408433177_10156181276228178,12618,15:08:36,video,Unpublished,571,27184,27184,6080,20482
